-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 01/31/2024 in LST
Location: Latitude  -22.9126   Longitude -68.1988 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2880.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M
2024,1,1,0,0.0,11.55,37.45
2024,1,1,1,0.0,11.48,36.84
2024,1,1,2,0.0,11.13,37.44
2024,1,1,3,0.0,10.66,38.54
2024,1,1,4,0.0,10.08,39.71
2024,1,1,5,94.57,12.01,34.21
2024,1,1,6,344.42,15.89,26.6
2024,1,1,7,611.38,18.55,22.27
2024,1,1,8,864.75,21.17,18.0
2024,1,1,9,1045.9,23.58,14.47
2024,1,1,10,1166.62,25.65,11.76
2024,1,1,11,1211.85,27.18,9.87
2024,1,1,12,1180.22,28.09,8.77
2024,1,1,13,1067.35,28.36,8.21
2024,1,1,14,892.9,28.0,8.2
2024,1,1,15,667.12,26.93,8.95
2024,1,1,16,409.98,25.13,10.83
2024,1,1,17,160.43,22.55,14.35
2024,1,1,18,0.0,18.86,20.79
2024,1,1,19,0.0,16.22,27.36
2024,1,1,20,0.0,14.81,31.56
2024,1,1,21,0.0,14.44,32.75
2024,1,1,22,0.0,13.1,35.4
2024,1,1,23,0.0,12.46,36.08
2024,1,2,0,0.0,12.51,35.2
2024,1,2,1,0.0,12.7,34.66
2024,1,2,2,0.0,11.98,36.59
2024,1,2,3,0.0,10.94,39.19
2024,1,2,4,0.0,10.3,40.25
2024,1,2,5,101.85,12.36,34.87
2024,1,2,6,360.55,16.4,26.05
2024,1,2,7,623.97,19.73,20.28
2024,1,2,8,852.17,22.68,15.83
2024,1,2,9,1037.38,25.09,12.68
2024,1,2,10,1156.55,26.86,10.6
2024,1,2,11,1206.18,28.04,9.18
2024,1,2,12,1178.12,28.74,8.17
2024,1,2,13,1071.1,28.65,7.88
2024,1,2,14,897.8,28.03,8.11
2024,1,2,15,675.4,26.82,8.97
2024,1,2,16,417.8,24.91,10.7
2024,1,2,17,154.23,22.24,13.87
2024,1,2,18,4.68,18.4,20.01
2024,1,2,19,0.0,15.76,26.39
2024,1,2,20,0.0,14.3,30.72
2024,1,2,21,0.0,14.01,31.6
2024,1,2,22,0.0,12.78,33.53
2024,1,2,23,0.0,11.94,33.83
2024,1,3,0,0.0,11.49,33.2
2024,1,3,1,0.0,11.24,32.79
2024,1,3,2,0.0,11.21,32.16
2024,1,3,3,0.0,11.05,31.99
2024,1,3,4,0.0,10.84,32.1
2024,1,3,5,84.3,12.85,29.38
2024,1,3,6,324.52,17.44,21.4
2024,1,3,7,598.2,20.58,16.2
2024,1,3,8,855.5,23.75,11.23
2024,1,3,9,1037.12,25.9,9.01
2024,1,3,10,1159.22,27.41,7.86
2024,1,3,11,1210.93,28.37,7.28
2024,1,3,12,1181.65,28.89,7.0
2024,1,3,13,1061.68,28.83,7.08
2024,1,3,14,889.38,28.16,7.54
2024,1,3,15,676.05,27.02,8.22
2024,1,3,16,426.7,25.4,9.29
2024,1,3,17,159.3,23.05,11.28
2024,1,3,18,5.0,18.75,16.09
2024,1,3,19,0.0,16.25,20.81
2024,1,3,20,0.0,15.27,23.57
2024,1,3,21,0.0,14.36,25.51
2024,1,3,22,0.0,13.15,26.98
2024,1,3,23,0.0,12.58,27.03
2024,1,4,0,0.0,12.1,26.98
2024,1,4,1,0.0,11.87,26.72
2024,1,4,2,0.0,12.05,25.76
2024,1,4,3,0.0,12.27,24.92
2024,1,4,4,0.0,12.19,24.98
2024,1,4,5,94.03,13.35,24.0
2024,1,4,6,349.12,17.18,19.66
2024,1,4,7,618.38,20.16,15.97
2024,1,4,8,849.9,23.2,12.81
2024,1,4,9,1033.3,25.6,10.81
2024,1,4,10,1141.6,27.17,9.59
2024,1,4,11,1208.2,28.2,8.75
2024,1,4,12,1179.82,28.89,7.96
2024,1,4,13,1081.9,28.96,7.5
2024,1,4,14,916.4,28.1,7.7
2024,1,4,15,689.28,26.38,9.09
2024,1,4,16,427.02,24.28,12.02
2024,1,4,17,161.12,21.85,16.23
2024,1,4,18,5.2,18.2,23.13
2024,1,4,19,0.0,16.21,28.52
2024,1,4,20,0.0,15.79,30.41
2024,1,4,21,0.0,14.18,33.74
2024,1,4,22,0.0,13.02,35.45
2024,1,4,23,0.0,12.98,33.98
2024,1,5,0,0.0,13.94,30.44
2024,1,5,1,0.0,13.93,29.51
2024,1,5,2,0.0,13.41,30.0
2024,1,5,3,0.0,12.87,31.47
2024,1,5,4,0.0,11.81,33.42
2024,1,5,5,82.32,12.86,29.48
2024,1,5,6,326.35,17.11,22.18
2024,1,5,7,599.85,20.23,18.43
2024,1,5,8,845.88,23.25,15.0
2024,1,5,9,1025.47,25.49,12.72
2024,1,5,10,1140.6,27.08,11.18
2024,1,5,11,1170.57,28.14,10.11
2024,1,5,12,1132.7,28.79,9.32
2024,1,5,13,1051.82,28.8,8.93
2024,1,5,14,886.85,28.04,9.15
2024,1,5,15,670.67,26.43,10.19
2024,1,5,16,413.65,24.19,12.45
2024,1,5,17,152.38,21.67,15.64
2024,1,5,18,4.88,18.14,20.7
2024,1,5,19,0.0,16.73,23.56
2024,1,5,20,0.0,16.7,24.05
2024,1,5,21,0.0,14.81,27.22
2024,1,5,22,0.0,13.4,29.52
2024,1,5,23,0.0,12.8,29.89
2024,1,6,0,0.0,12.36,29.77
2024,1,6,1,0.0,12.21,29.14
2024,1,6,2,0.0,12.18,28.45
2024,1,6,3,0.0,13.24,26.25
2024,1,6,4,0.0,14.59,24.33
2024,1,6,5,75.35,15.6,23.34
2024,1,6,6,310.02,18.15,20.03
2024,1,6,7,574.62,20.91,16.59
2024,1,6,8,828.25,23.63,13.46
2024,1,6,9,1013.75,26.07,10.57
2024,1,6,10,1137.4,28.02,8.44
2024,1,6,11,1189.57,29.42,7.13
2024,1,6,12,1165.88,30.34,6.28
2024,1,6,13,1067.8,30.65,5.82
2024,1,6,14,901.72,30.1,5.9
2024,1,6,15,680.97,28.78,6.65
2024,1,6,16,423.67,26.85,8.49
2024,1,6,17,158.95,24.29,11.79
2024,1,6,18,5.28,19.99,18.3
2024,1,6,19,0.0,17.58,24.23
2024,1,6,20,0.0,16.83,27.18
2024,1,6,21,0.0,15.83,29.44
2024,1,6,22,0.0,14.62,31.47
2024,1,6,23,0.0,14.2,31.38
2024,1,7,0,0.0,14.29,30.19
2024,1,7,1,0.0,14.55,28.91
2024,1,7,2,0.0,13.78,29.43
2024,1,7,3,0.0,12.92,29.83
2024,1,7,4,0.0,12.39,29.77
2024,1,7,5,83.07,14.43,26.35
2024,1,7,6,335.92,19.6,18.43
2024,1,7,7,601.67,23.08,15.09
2024,1,7,8,834.17,26.08,11.48
2024,1,7,9,1023.28,28.04,9.41
2024,1,7,10,1143.3,29.43,8.17
2024,1,7,11,1206.38,30.65,6.93
2024,1,7,12,1166.62,31.55,5.73
2024,1,7,13,1087.32,31.73,4.88
2024,1,7,14,918.08,31.22,4.59
2024,1,7,15,697.35,30.08,4.9
2024,1,7,16,436.15,28.27,6.01
2024,1,7,17,169.27,25.63,8.5
2024,1,7,18,6.0,20.59,14.63
2024,1,7,19,0.0,18.02,20.59
2024,1,7,20,0.0,17.03,24.02
2024,1,7,21,0.0,16.7,25.15
2024,1,7,22,0.0,15.72,26.45
2024,1,7,23,0.0,15.2,26.73
2024,1,8,0,0.0,14.88,26.73
