-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 01/31/2024 in LST
Location: Latitude  -33.1933   Longitude -71.6962 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 45.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M
2024,1,1,0,0.0,15.21,88.63
2024,1,1,1,0.0,15.02,89.78
2024,1,1,2,0.0,14.92,90.24
2024,1,1,3,0.0,14.84,90.41
2024,1,1,4,0.0,14.75,90.56
2024,1,1,5,109.3,15.41,86.0
2024,1,1,6,314.67,16.15,81.25
2024,1,1,7,551.83,16.9,77.22
2024,1,1,8,768.6,17.56,74.55
2024,1,1,9,947.17,18.03,73.16
2024,1,1,10,1064.28,18.4,71.87
2024,1,1,11,1111.38,18.67,70.83
2024,1,1,12,1099.62,18.79,70.31
2024,1,1,13,1021.5,18.72,70.49
2024,1,1,14,885.3,18.56,71.2
2024,1,1,15,706.53,18.35,72.07
2024,1,1,16,486.98,18.03,73.68
2024,1,1,17,249.7,17.6,76.18
2024,1,1,18,48.97,17.03,79.97
2024,1,1,19,0.0,16.47,84.68
2024,1,1,20,0.0,16.15,87.76
2024,1,1,21,0.0,15.88,89.99
2024,1,1,22,0.0,15.64,91.51
2024,1,1,23,0.0,15.44,92.36
2024,1,2,0,0.0,15.27,93.41
2024,1,2,1,0.0,15.17,94.25
2024,1,2,2,0.0,15.17,93.68
2024,1,2,3,0.0,15.15,93.17
2024,1,2,4,0.0,15.12,92.91
2024,1,2,5,96.0,15.83,88.35
2024,1,2,6,284.35,16.61,82.89
2024,1,2,7,507.33,17.41,78.3
2024,1,2,8,722.92,18.14,75.92
2024,1,2,9,896.53,18.78,74.03
2024,1,2,10,1002.1,19.16,73.58
2024,1,2,11,1016.97,19.31,73.75
2024,1,2,12,955.1,19.39,73.36
2024,1,2,13,841.7,19.39,72.63
2024,1,2,14,764.22,19.23,72.69
2024,1,2,15,650.75,18.95,73.59
2024,1,2,16,451.27,18.54,75.28
2024,1,2,17,221.07,17.99,78.09
2024,1,2,18,46.17,17.21,82.72
2024,1,2,19,0.0,16.44,87.93
2024,1,2,20,0.0,16.05,90.98
2024,1,2,21,0.0,15.79,92.71
2024,1,2,22,0.0,15.67,93.49
2024,1,2,23,0.0,15.54,93.94
2024,1,3,0,0.0,15.43,94.36
2024,1,3,1,0.0,15.35,94.69
2024,1,3,2,0.0,15.34,94.81
2024,1,3,3,0.0,15.49,94.27
2024,1,3,4,0.0,15.58,94.29
2024,1,3,5,58.42,16.02,92.05
2024,1,3,6,152.3,16.56,88.87
2024,1,3,7,286.35,17.25,85.14
2024,1,3,8,498.35,17.91,81.88
2024,1,3,9,672.65,18.51,78.84
2024,1,3,10,844.08,18.97,76.9
2024,1,3,11,848.88,19.33,74.92
2024,1,3,12,954.4,19.69,72.01
2024,1,3,13,962.72,19.82,70.41
2024,1,3,14,825.8,19.6,71.11
2024,1,3,15,627.25,19.31,71.95
2024,1,3,16,404.42,18.87,73.71
2024,1,3,17,206.18,18.19,77.13
2024,1,3,18,35.8,17.23,82.35
2024,1,3,19,0.0,16.39,87.65
2024,1,3,20,0.0,15.87,90.82
2024,1,3,21,0.0,15.5,92.62
2024,1,3,22,0.0,15.38,92.75
2024,1,3,23,0.0,15.32,92.86
2024,1,4,0,0.0,15.14,93.79
2024,1,4,1,0.0,15.17,93.21
2024,1,4,2,0.0,15.32,91.98
2024,1,4,3,0.0,15.5,90.9
2024,1,4,4,0.0,15.54,90.83
2024,1,4,5,31.35,15.75,89.42
2024,1,4,6,110.38,16.21,86.36
2024,1,4,7,206.55,16.8,83.48
2024,1,4,8,331.33,17.27,82.12
2024,1,4,9,421.27,17.76,80.11
2024,1,4,10,587.88,18.12,78.65
2024,1,4,11,728.35,18.24,78.38
2024,1,4,12,749.2,18.21,78.7
2024,1,4,13,875.2,18.1,79.03
2024,1,4,14,827.45,17.89,79.69
2024,1,4,15,662.75,17.7,80.22
2024,1,4,16,457.42,17.56,80.72
2024,1,4,17,232.82,17.22,83.02
2024,1,4,18,47.65,16.63,87.04
2024,1,4,19,0.0,16.07,91.0
2024,1,4,20,0.0,15.83,92.85
2024,1,4,21,0.0,15.65,94.08
2024,1,4,22,0.0,15.51,94.98
2024,1,4,23,0.0,15.44,95.55
2024,1,5,0,0.0,15.38,95.69
2024,1,5,1,0.0,15.33,95.68
2024,1,5,2,0.0,15.35,95.01
2024,1,5,3,0.0,15.42,94.07
2024,1,5,4,0.0,15.32,94.36
2024,1,5,5,28.77,15.41,93.67
2024,1,5,6,92.55,15.94,90.41
2024,1,5,7,178.5,16.48,87.47
2024,1,5,8,250.62,16.86,85.66
2024,1,5,9,346.92,17.15,84.3
2024,1,5,10,461.6,17.33,83.29
2024,1,5,11,529.0,17.48,82.6
2024,1,5,12,611.45,17.52,82.4
2024,1,5,13,505.42,17.48,82.43
2024,1,5,14,646.08,17.33,82.93
2024,1,5,15,546.53,17.1,83.94
2024,1,5,16,365.6,16.85,84.98
2024,1,5,17,184.45,16.55,86.26
2024,1,5,18,40.1,16.23,88.03
2024,1,5,19,0.0,15.96,90.36
2024,1,5,20,0.0,15.84,91.69
2024,1,5,21,0.0,15.8,92.18
2024,1,5,22,0.0,15.77,92.23
2024,1,5,23,0.0,15.64,92.76
2024,1,6,0,0.0,15.4,93.95
2024,1,6,1,0.0,15.27,94.68
2024,1,6,2,0.0,15.3,94.75
2024,1,6,3,0.0,15.21,95.7
2024,1,6,4,0.0,15.12,96.76
2024,1,6,5,46.08,15.68,93.57
2024,1,6,6,134.18,16.37,89.05
2024,1,6,7,174.88,17.04,85.2
2024,1,6,8,314.75,17.56,82.78
2024,1,6,9,350.2,17.97,80.68
2024,1,6,10,469.5,18.34,78.77
2024,1,6,11,570.6,18.59,77.61
2024,1,6,12,681.17,18.65,77.31
2024,1,6,13,625.28,18.62,77.46
2024,1,6,14,798.58,18.52,77.8
2024,1,6,15,641.88,18.36,78.27
2024,1,6,16,442.62,18.17,78.81
2024,1,6,17,231.65,17.95,79.43
2024,1,6,18,50.4,17.59,81.03
2024,1,6,19,0.0,17.15,83.58
2024,1,6,20,0.0,16.89,85.82
2024,1,6,21,0.0,16.66,88.18
2024,1,6,22,0.0,16.49,90.32
2024,1,6,23,0.0,16.36,92.04
2024,1,7,0,0.0,16.22,93.32
2024,1,7,1,0.0,16.11,94.02
2024,1,7,2,0.0,16.04,94.25
2024,1,7,3,0.0,16.0,94.35
2024,1,7,4,0.0,15.85,95.03
2024,1,7,5,106.53,16.27,91.67
2024,1,7,6,322.12,16.97,85.63
2024,1,7,7,553.38,17.72,80.64
2024,1,7,8,761.03,18.45,76.44
2024,1,7,9,929.22,19.16,72.31
2024,1,7,10,1053.43,19.5,70.57
2024,1,7,11,1113.3,19.57,70.41
2024,1,7,12,1108.05,19.53,71.01
2024,1,7,13,1028.65,19.39,71.86
2024,1,7,14,891.58,19.23,71.64
2024,1,7,15,712.62,19.0,71.55
2024,1,7,16,496.92,18.85,71.25
2024,1,7,17,266.83,18.67,71.75
2024,1,7,18,57.72,18.16,74.63
2024,1,7,19,0.0,17.6,78.27
2024,1,7,20,0.0,17.32,80.73
2024,1,7,21,0.0,17.12,82.17
2024,1,7,22,0.0,16.89,83.52
2024,1,7,23,0.0,16.6,85.27
2024,1,8,0,0.0,16.35,86.74
2024,1,8,1,0.0,16.13,88.0
2024,1,8,2,0.0,15.94,89.22
2024,1,8,3,0.0,15.78,90.25
2024,1,8,4,0.0,15.63,90.98
2024,1,8,5,104.57,16.06,87.85
2024,1,8,6,323.62,16.83,81.66
2024,1,8,7,552.95,17.63,76.7
2024,1,8,8,763.17,18.35,72.93
2024,1,8,9,933.35,19.09,68.92
2024,1,8,10,1051.72,19.59,66.39
2024,1,8,11,1106.07,19.7,65.61
2024,1,8,12,1097.68,19.61,65.58
2024,1,8,13,1026.55,19.46,65.52
2024,1,8,14,894.53,19.25,65.82
2024,1,8,15,714.53,19.01,66.46
2024,1,8,16,499.8,18.73,67.87
2024,1,8,17,270.2,18.38,70.37
2024,1,8,18,59.5,17.82,74.89
2024,1,8,19,0.0,17.26,80.05
2024,1,8,20,0.0,16.93,83.17
2024,1,8,21,0.0,16.66,84.93
2024,1,8,22,0.0,16.37,86.23
2024,1,8,23,0.0,16.05,86.63
2024,1,9,0,0.0,15.82,86.43
2024,1,9,1,0.0,15.55,86.91
2024,1,9,2,0.0,15.33,87.31
2024,1,9,3,0.0,15.25,87.03
2024,1,9,4,0.0,15.11,87.48
2024,1,9,5,98.15,15.3,86.11
2024,1,9,6,316.0,15.75,82.53
2024,1,9,7,550.8,16.41,78.19
2024,1,9,8,747.67,16.97,75.3
2024,1,9,9,926.9,17.44,72.92
2024,1,9,10,1051.55,17.86,70.78
2024,1,9,11,1106.93,18.08,69.34
2024,1,9,12,1101.53,18.11,69.05
2024,1,9,13,1030.07,18.06,69.28
2024,1,9,14,898.55,17.96,69.64
2024,1,9,15,716.53,17.85,69.96
2024,1,9,16,499.98,17.65,70.68
2024,1,9,17,268.38,17.32,72.0
2024,1,9,18,56.05,16.79,74.38
2024,1,9,19,0.0,16.23,77.51
2024,1,9,20,0.0,15.91,79.57
2024,1,9,21,0.0,15.65,81.24
2024,1,9,22,0.0,15.39,82.93
2024,1,9,23,0.0,15.08,84.83
2024,1,10,0,0.0,14.76,87.02
2024,1,10,1,0.0,14.52,88.82
2024,1,10,2,0.0,14.35,90.16
2024,1,10,3,0.0,14.26,91.09
2024,1,10,4,0.0,14.28,91.49
2024,1,10,5,73.45,15.03,87.69
2024,1,10,6,249.25,15.87,82.6
2024,1,10,7,458.08,16.61,78.91
2024,1,10,8,774.95,17.23,76.13
2024,1,10,9,887.25,17.75,73.77
2024,1,10,10,1039.35,18.13,71.74
2024,1,10,11,1097.12,18.28,70.69
2024,1,10,12,1096.7,18.31,70.17
2024,1,10,13,1018.17,18.29,69.8
2024,1,10,14,888.7,18.22,69.56
2024,1,10,15,710.2,18.08,69.64
2024,1,10,16,496.42,17.79,70.52
2024,1,10,17,267.88,17.36,72.12
2024,1,10,18,58.97,16.73,74.82
2024,1,10,19,0.0,16.06,78.1
2024,1,10,20,0.0,15.61,80.86
2024,1,10,21,0.0,15.26,82.89
2024,1,10,22,0.0,15.04,84.05
2024,1,10,23,0.0,14.89,84.53
2024,1,11,0,0.0,14.78,84.98
2024,1,11,1,0.0,14.68,85.3
2024,1,11,2,0.0,14.62,85.52
2024,1,11,3,0.0,14.63,85.47
2024,1,11,4,0.0,14.67,85.67
2024,1,11,5,58.47,14.92,84.71
2024,1,11,6,207.1,15.39,81.12
2024,1,11,7,406.58,16.15,76.76
