-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 01/31/2024 in LST
Location: Latitude  -33.3774   Longitude -70.504 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1154.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M
2024,1,1,0,0.0,15.32,32.55
2024,1,1,1,0.0,14.96,32.38
2024,1,1,2,0.0,14.69,32.09
2024,1,1,3,0.0,14.18,31.86
2024,1,1,4,5.35,13.68,31.11
2024,1,1,5,147.95,16.67,24.18
2024,1,1,6,381.35,22.16,15.43
2024,1,1,7,614.7,25.5,11.67
2024,1,1,8,796.03,27.13,11.43
2024,1,1,9,985.8,28.33,12.13
2024,1,1,10,1102.88,29.22,12.71
2024,1,1,11,1146.82,29.82,12.62
2024,1,1,12,1107.15,30.23,12.46
2024,1,1,13,1046.18,30.28,12.72
2024,1,1,14,861.75,29.75,13.66
2024,1,1,15,705.67,28.72,15.07
2024,1,1,16,486.33,27.3,16.84
2024,1,1,17,258.35,25.39,19.64
2024,1,1,18,47.55,22.19,25.35
2024,1,1,19,0.0,18.92,32.58
2024,1,1,20,0.0,17.58,34.18
2024,1,1,21,0.0,16.9,33.6
2024,1,1,22,0.0,16.14,34.08
2024,1,1,23,0.0,15.56,34.63
2024,1,2,0,0.0,15.34,34.53
2024,1,2,1,0.0,15.19,34.6
2024,1,2,2,0.0,15.06,35.05
2024,1,2,3,0.0,14.68,36.18
2024,1,2,4,4.68,14.13,37.24
2024,1,2,5,140.93,16.54,31.38
2024,1,2,6,371.4,21.28,23.57
2024,1,2,7,605.03,24.33,18.38
2024,1,2,8,819.78,26.45,14.77
2024,1,2,9,990.1,28.19,13.67
2024,1,2,10,1102.97,29.3,13.73
2024,1,2,11,1148.4,29.85,13.84
2024,1,2,12,1133.7,30.17,14.21
2024,1,2,13,1046.12,30.43,14.13
2024,1,2,14,859.92,30.17,14.57
2024,1,2,15,700.6,29.37,15.57
2024,1,2,16,479.3,28.07,17.19
2024,1,2,17,250.68,26.18,19.92
2024,1,2,18,46.62,22.94,25.76
2024,1,2,19,0.0,19.86,33.14
2024,1,2,20,0.0,18.46,36.57
2024,1,2,21,0.0,17.45,37.83
2024,1,2,22,0.0,16.7,38.76
2024,1,2,23,0.0,16.15,39.19
2024,1,3,0,0.0,16.2,37.9
2024,1,3,1,0.0,16.34,36.47
2024,1,3,2,0.0,16.7,34.89
2024,1,3,3,0.0,16.76,34.32
2024,1,3,4,0.0,16.54,35.41
2024,1,3,5,143.4,17.72,36.15
2024,1,3,6,359.45,20.82,30.72
2024,1,3,7,583.3,23.49,22.69
2024,1,3,8,776.9,26.78,16.56
2024,1,3,9,973.4,28.9,13.56
2024,1,3,10,1088.85,29.1,13.87
2024,1,3,11,1129.22,29.05,14.94
2024,1,3,12,1100.72,29.69,14.74
2024,1,3,13,971.3,30.08,14.11
2024,1,3,14,875.15,29.82,13.79
2024,1,3,15,684.4,29.08,13.89
2024,1,3,16,471.15,27.86,14.8
2024,1,3,17,256.55,26.05,16.83
2024,1,3,18,46.47,22.69,21.97
2024,1,3,19,0.0,19.9,28.02
2024,1,3,20,0.0,18.99,29.26
2024,1,3,21,0.0,17.93,30.64
2024,1,3,22,0.0,16.93,31.95
2024,1,3,23,0.0,16.75,31.48
2024,1,4,0,0.0,17.04,30.46
2024,1,4,1,0.0,17.36,29.63
2024,1,4,2,0.0,18.05,28.43
2024,1,4,3,0.0,17.97,29.08
2024,1,4,4,0.0,16.91,32.22
2024,1,4,5,141.05,18.26,31.03
2024,1,4,6,350.75,22.38,24.64
2024,1,4,7,577.8,25.59,19.93
2024,1,4,8,804.97,27.63,17.42
2024,1,4,9,972.33,28.75,17.37
2024,1,4,10,1095.85,29.73,17.36
2024,1,4,11,1132.2,30.24,17.75
2024,1,4,12,1111.32,29.98,19.36
2024,1,4,13,981.15,29.29,21.27
2024,1,4,14,873.78,28.69,22.1
2024,1,4,15,692.5,27.35,23.73
2024,1,4,16,480.75,25.85,25.95
2024,1,4,17,258.45,24.57,28.41
2024,1,4,18,47.3,22.34,33.4
2024,1,4,19,0.0,19.23,41.79
2024,1,4,20,0.0,18.02,43.5
2024,1,4,21,0.0,17.4,42.36
2024,1,4,22,0.0,17.28,40.58
2024,1,4,23,0.0,17.1,39.65
2024,1,5,0,0.0,16.74,39.88
2024,1,5,1,0.0,16.04,41.06
2024,1,5,2,0.0,15.52,41.25
2024,1,5,3,0.0,15.31,40.27
2024,1,5,4,0.0,14.98,39.07
2024,1,5,5,139.43,17.79,30.73
2024,1,5,6,338.98,22.76,22.25
2024,1,5,7,553.17,25.61,18.54
2024,1,5,8,760.47,27.24,16.72
2024,1,5,9,892.7,28.03,18.11
2024,1,5,10,1060.65,28.21,21.33
2024,1,5,11,1097.18,28.09,24.83
2024,1,5,12,1094.72,28.0,27.21
2024,1,5,13,985.58,28.04,28.04
2024,1,5,14,854.08,27.74,29.13
2024,1,5,15,638.25,27.14,30.47
2024,1,5,16,423.95,26.01,32.6
2024,1,5,17,216.35,24.19,36.66
2024,1,5,18,39.3,22.34,41.73
2024,1,5,19,0.0,20.89,45.88
2024,1,5,20,0.0,20.02,47.33
2024,1,5,21,0.0,19.25,48.5
2024,1,5,22,0.0,18.52,50.36
2024,1,5,23,0.0,17.8,52.02
2024,1,6,0,0.0,16.75,54.45
2024,1,6,1,0.0,15.41,57.91
2024,1,6,2,0.0,15.8,54.89
2024,1,6,3,0.0,15.89,52.63
2024,1,6,4,0.0,15.37,52.66
2024,1,6,5,121.18,17.45,44.66
2024,1,6,6,310.62,20.9,36.31
2024,1,6,7,513.15,23.55,26.24
2024,1,6,8,702.08,25.13,21.93
2024,1,6,9,753.75,26.56,20.11
2024,1,6,10,979.5,27.79,19.43
2024,1,6,11,1015.6,28.8,18.96
2024,1,6,12,947.42,29.5,18.69
2024,1,6,13,953.08,29.68,18.91
2024,1,6,14,842.12,29.13,20.01
2024,1,6,15,660.62,27.95,21.88
2024,1,6,16,454.2,26.36,24.22
2024,1,6,17,249.5,24.37,27.58
